;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
470;M;69;19541030;France;Feulen;Canton Diekirch;0.0;195410308208*;white;black;short;Yves;Brun
471;F;54;19691127;Luxembourg;Luxembourg;Canton Luxembourg;4960.0;196911279819*;white;black;medium;Sabine;Segers
472;M;52;19710327;Luxembourg;Vianden;Canton Vianden;4039.0;197103272219*;white;brown;long;David;Lefebvre
473;F;58;19650127;Portugal;Esch-sur-Alzette;Canton Esch;2803.0;196501271761*;white;black;medium;Yasmin;Fonseca
474;M;44;19790816;Portugal;Esch-sur-Alzette;Canton Esch;1303.0;197908169680*;white;brown;long;Benjamim;Henriques
475;M;45;19780712;Luxembourg;Wiltz;Canton Wiltz;2833.0;197807121285*;white;blond;short;Adrien;Legendre
476;F;53;19700602;Portugal;Sanem;Canton Esch;1642.0;197006021673*;white;black;medium;Débora;Pinheiro
477;M;47;19760223;France;Sanem;Canton Esch;3142.0;197602230407*;black;blond;medium;Arthur;Chauvet
478;M;60;19630316;Hungary;Pétange;Canton Esch;2528.0;196303167032*;white;black;long;Dávid;Nagy
479;F;57;19661101;Luxembourg;Pétange;Canton Esch;4028.0;196611017908*;white;black;medium;Joséphine;Henry
480;F;63;19600731;Luxembourg;Dudelange;Canton Esch;6953.0;196007317326*;white;brown;medium;Brigitte;Guyon
481;M;53;19701029;Portugal;Weiler-la-Tour;Canton Luxembourg;3357.0;197010296346*;white;brown;medium;Vasco;Lima
482;M;65;19580217;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195802174817*;white;gray;long;Maurice;Raeymaekers
483;F;32;19910617;Luxembourg;Wiltz;Canton Wiltz;9333.0;199106177792*;white;brown;short;Leen;Baudry
484;F;45;19780127;Luxembourg;Rambrouch;Canton Redange;3546.0;197801270517*;white;red;long;Luna;Poirier
485;F;41;19820613;Luxembourg;Kehlen;Canton Capellen;5707.0;198206133664*;white;red;short;Valentine;Arnaud
486;F;82;19410311;Luxembourg;Sanem;Canton Esch;0.0;194103117019*;white;gray;short;Louise;Weber
487;M;64;19590217;Belgium;Ettelbruck;Canton Diekirch;7862.0;195902177075*;white;gray;long;Erik;Verheyen
488;M;69;19540403;Luxembourg;Dalheim;Canton Remich;0.0;195404034144*;white;black;medium;Alexandre;Dubois
489;F;27;19961217;Luxembourg;Esch-sur-Alzette;Canton Esch;7303.0;199612176137*;black;gray;medium;Yara;Lenaerts
490;F;65;19580423;Belgium;Junglinster;Canton Grevenmacher;0.0;195804237954*;white;black;medium;Anouk;Peeters
491;M;30;19930520;Luxembourg;Differdange;Canton Esch;1968.0;199305200172*;white;gray;long;Lodewijk;Govaerts
492;M;56;19670226;Luxembourg;Walferdange;Canton Luxembourg;2645.0;196702264578*;white;blond;long;Benoît;Nijs
493;M;38;19851031;Ukraine;Luxembourg;Canton Luxembourg;1460.0;198510312936*;white;gray;short;Болеслав;Павленко
494;F;59;19640120;France;Redange-sur-Attert;Canton Redange;Nan;196401209407*;white;gray;medium;Laurence;Maury
495;F;55;19680324;France;Pétange;Canton Esch;4028.0;196803245624*;white;black;medium;Susan;Marin
496;M;65;19580213;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195802130688*;white;black;medium;Matthieu;Gay
497;M;58;19650210;Italy;Schengen;Canton Remich;1539.0;196502101523*;white;gray;short;Maurilio;Cilea
498;M;33;19901026;Luxembourg;Lintgen;Canton Mersch;3116.0;199010264891*;white;red;short;Alfred;Bonnin
499;M;40;19831130;France;Helperknapp;Canton Mersch;2917.0;198311301011*;white;black;long;Roger;Lefebvre
500;F;47;19760308;France;Niederanven;Canton Luxembourg;7955.0;197603085108*;white;black;short;Édith;Delattre
501;M;41;19820616;Luxembourg;Dudelange;Canton Esch;3453.0;198206167974*;white;black;long;Ben;Lebrun
502;F;28;19950614;Luxembourg;Schifflange;Canton Esch;1542.0;199506146512*;white;blond;medium;Amélie;Petitjean
503;M;78;19451030;Luxembourg;Dudelange;Canton Esch;0.0;194510304255*;white;gray;medium;Antoine;Lejeune
504;M;36;19871007;Luxembourg;Luxembourg;Canton Luxembourg;2960.0;198710071333*;latino;blond;long;Théophile;Verhoeven
505;M;20;20030321;Luxembourg;Dudelange;Canton Esch;953.0;200303212731*;black;black;short;Michiel;Poelmans
506;F;57;19660703;Luxembourg;Helperknapp;Canton Mersch;2917.0;196607037382*;latino;black;medium;Sabine;Vereecke
507;F;58;19650618;Italy;Käerjeng;Canton Capellen;9641.0;196506189580*;white;black;medium;Renata;Tron
508;F;19;20040405;Luxembourg;Beckerich;Canton Redange;5132.0;200404059789*;white;red;medium;Amélie;Fleury
509;F;60;19630830;Luxembourg;Esch-sur-Alzette;Canton Esch;803.0;196308300655*;white;black;long;Ilse;Gaillard
510;F;52;19710702;Brazil;Sanem;Canton Esch;7142.0;197107024558*;latino;gray;medium;Lívia;Jesus
511;M;62;19611117;Luxembourg;Beaufort;Canton Echternach;4082.0;196111172370*;white;gray;medium;Ömer;Hermans
512;F;29;19940121;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;199401212654*;white;black;medium;Philippine;Huybrechts
513;F;32;19911016;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;199110163579*;latino;gray;long;Françoise;Lombard
514;M;70;19530814;Luxembourg;Esch-sur-Alzette;Canton Esch;0.0;195308148061*;white;gray;medium;Stephan;Philippe
515;F;42;19810601;Portugal;Luxembourg;Canton Luxembourg;5460.0;198106011188*;white;black;short;Carolina;Henriques
516;F;27;19960625;Luxembourg;Luxembourg;Canton Luxembourg;6460.0;199606257635*;black;black;short;Emmanuelle;Cools
517;F;27;19960518;Luxembourg;Pétange;Canton Esch;3528.0;199605186750*;white;black;short;Michelle;Aubry
518;M;22;20010807;Luxembourg;Kehlen;Canton Capellen;4207.0;200108073348*;white;brown;long;Frédéric;Riou
519;F;25;19980423;Luxembourg;Walferdange;Canton Luxembourg;4145.0;199804232691*;latino;black;long;Margaud;Fernandez
520;F;46;19770716;Luxembourg;Kopstal;Canton Capellen;14892.0;197707169487*;white;black;medium;Christine;De Oliveira
521;M;58;19651028;Luxembourg;Pétange;Canton Esch;3028.0;196510288240*;white;gray;medium;Lucas;Pottier
522;M;22;20010527;Luxembourg;Differdange;Canton Esch;3468.0;200105273695*;latino;black;medium;Thomas;Devos
523;F;31;19921027;Portugal;Helperknapp;Canton Mersch;2917.0;199210270205*;white;red;medium;Renata;Alves
524;F;28;19950808;France;Mertert;Canton Grevenmacher;11008.0;199508082748*;white;black;medium;Alice;Weber
525;F;31;19920129;Luxembourg;Esch-sur-Sûre;Canton Wiltz;7524.0;199201290408*;white;red;short;Célina;Allain
526;F;23;20000919;Luxembourg;Schieren;Canton Diekirch;4719.0;200009192080*;white;brown;medium;Lore;Andre
527;M;31;19920628;Luxembourg;Bettembourg;Canton Esch;2096.0;199206286409*;white;gray;long;Nathan;Bernard
528;F;51;19720108;Luxembourg;Kehlen;Canton Capellen;4207.0;197201082942*;latino;black;medium;Astrid;Van Dijck
529;M;61;19620414;Spain;Diekirch;Canton Diekirch;4890.0;196204143131*;white;gray;short;Cándido;Elorza
530;F;31;19920513;Luxembourg;Koerich;Canton Capellen;13684.0;199205139589*;white;black;medium;Maggie;Verhaegen
531;M;23;20000518;Luxembourg;Beaufort;Canton Echternach;6082.0;200005184280*;white;black;short;Patrick;Smits
532;M;32;19910102;Portugal;Luxembourg;Canton Luxembourg;4460.0;199101027221*;white;gray;long;Manuel;Antunes
533;F;59;19640727;Portugal;Luxembourg;Canton Luxembourg;3960.0;196407271830*;white;gray;long;Bárbara;Antunes
534;F;61;19621213;Portugal;Niederanven;Canton Luxembourg;23955.0;196212137532*;white;black;long;Francisca;Miranda
535;M;26;19970818;Luxembourg;Clervaux;Canton Clervaux;3979.0;199708189088*;white;gray;medium;Roger;De Cock
536;M;38;19851014;Netherlands;Sanem;Canton Esch;5642.0;198510143962*;white;black;medium;Rafael;Backer
537;M;37;19861123;Luxembourg;Clervaux;Canton Clervaux;4479.0;198611239420*;black;black;medium;Raymond;De Coster
538;F;23;20000826;Luxembourg;Esch-sur-Alzette;Canton Esch;4303.0;200008262361*;white;black;short;Victoire;Lippens
539;F;49;19741201;Luxembourg;Luxembourg;Canton Luxembourg;18460.0;197412013755*;white;gray;long;Emmanuelle;Vaillant
540;F;76;19470613;Belgium;Schuttrange;Canton Luxembourg;0.0;194706130126*;white;gray;short;Vera;Declercq
541;M;19;20040628;France;Kayl;Canton Esch;5116.0;200406287807*;white;black;medium;Rémy;Becker
542;M;81;19420103;Portugal;Differdange;Canton Esch;0.0;194201032592*;white;gray;short;Vasco;Branco
543;M;28;19950613;France;Mertert;Canton Grevenmacher;2008.0;199506138760*;white;brown;medium;Thibaut;Bouvier
544;M;46;19770205;Luxembourg;Pétange;Canton Esch;2028.0;197702057651*;white;gray;medium;Tristan;Martens
545;M;32;19910804;Luxembourg;Roeser;Canton Esch;13132.0;199108043329*;latino;black;medium;Kevin;Martin
546;M;75;19481019;Luxembourg;Roeser;Canton Esch;0.0;194810193567*;white;black;medium;Jens;Rocher
547;F;36;19870311;Luxembourg;Niederanven;Canton Luxembourg;3455.0;198703112861*;white;black;medium;Susanne;Verbruggen
548;M;63;19600131;Portugal;Luxembourg;Canton Luxembourg;8960.0;196001315454*;white;blond;long;Guilherme;Teixeira
549;F;30;19930615;Germany;Hesperange;Canton Luxembourg;7654.0;199306153867*;white;brown;short;Sylvia;Riehl
550;M;31;19920530;Luxembourg;Pétange;Canton Esch;2528.0;199205300427*;white;black;medium;Christophe;Gosselin
551;F;26;19970429;Luxembourg;Rambrouch;Canton Redange;2046.0;199704294508*;black;gray;short;Louisa;Maertens
552;M;23;20000219;Portugal;Luxembourg;Canton Luxembourg;15460.0;200002192520*;white;black;short;Tomé;Ramos
553;M;20;20030720;Germany;Luxembourg;Canton Luxembourg;5960.0;200307203137*;white;red;short;Karl-Peter;Schüler
554;F;54;19691111;Luxembourg;Bertrange;Canton Luxembourg;4587.0;196911119022*;latino;black;medium;Marcelle;Daems
555;M;44;19790803;Netherlands;Mondercange;Canton Esch;8580.0;197908033147*;white;red;long;Robin;Zeemans
556;M;54;19691007;Italy;Luxembourg;Canton Luxembourg;7960.0;196910079774*;white;black;long;Lucio;Nolcini
557;F;40;19831220;Luxembourg;Ettelbruck;Canton Diekirch;4862.0;198312206814*;white;red;long;Monique;Lesage
558;F;50;19730417;Luxembourg;Mertert;Canton Grevenmacher;3508.0;197304177727*;latino;black;long;Josette;Verfaillie
559;F;69;19540707;Luxembourg;Differdange;Canton Esch;0.0;195407072437*;white;black;medium;Adèle;Beyens
560;F;30;19930405;India;Hesperange;Canton Luxembourg;2154.0;199304057276*;south asians;black;short;Advik;Dixit
561;F;20;20030109;Portugal;Esch-sur-Sûre;Canton Wiltz;1524.0;200301096607*;white;blond;long;Luna;Santos
562;M;21;20020521;Luxembourg;Käerjeng;Canton Capellen;2141.0;200205212468*;white;brown;short;Émile;Bertin
563;F;26;19970216;Luxembourg;Clervaux;Canton Clervaux;2479.0;199702160328*;latino;brown;short;Aurore;Riou
564;M;49;19740730;Luxembourg;Mamer;Canton Capellen;17201.0;197407308993*;latino;red;medium;Steve;Pires
565;F;37;19861113;Portugal;Mersch;Canton Mersch;16055.0;198611133421*;white;gray;short;Naiara;Vicente
566;F;66;19570427;Portugal;Kopstal;Canton Capellen;0.0;195704275388*;white;black;medium;Lorena;Reis
567;M;34;19890724;Luxembourg;Roeser;Canton Esch;11132.0;198907249464*;white;black;short;Auguste;Callens
568;M;36;19871130;Luxembourg;Niederanven;Canton Luxembourg;5955.0;198711308368*;latino;black;medium;Michel;Vansteenkiste
569;F;45;19781016;France;Sanem;Canton Esch;5142.0;197810163917*;white;black;long;Dorothée;Devaux
570;M;54;19690920;Turkey;Biwer;Canton Grevenmacher;2984.0;196909207818*;turkish;black;medium;Server;Ertaş
571;F;20;20030430;Portugal;Ettelbruck;Canton Diekirch;2862.0;200304300066*;white;blond;long;Carminho;Jesus
572;F;59;19640804;Ireland;Helperknapp;Canton Mersch;1917.0;196408048899*;white;gray;short;Rhianna;Wallace
573;F;48;19750908;Luxembourg;Dudelange;Canton Esch;7953.0;197509086162*;white;black;short;Els;De Cock
574;F;38;19850703;Luxembourg;Goesdorf;Canton Wiltz;8111.0;198507032533*;white;gray;short;Isabelle;Fleury
575;M;65;19580714;Portugal;Hesperange;Canton Luxembourg;0.0;195807143780*;white;black;short;Kévim;Vieira
576;M;66;19570705;Ukraine;Biwer;Canton Grevenmacher;0.0;195707051054*;white;brown;medium;Валерій;Фастенко
577;F;55;19680930;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;196809306196*;white;black;long;Camille;Dijoux
578;M;33;19900312;Luxembourg;Mersch;Canton Mersch;1055.0;199003126353*;white;black;long;Jonas;Georges
579;M;45;19780919;Luxembourg;Käerjeng;Canton Capellen;1641.0;197809194051*;black;black;long;Robby;Yilmaz
580;F;70;19530717;Luxembourg;Esch-sur-Alzette;Canton Esch;0.0;195307177431*;latino;black;medium;Laura;Roels
581;F;83;19400114;Luxembourg;Esch-sur-Alzette;Canton Esch;0.0;194001149086*;white;gray;short;Sarah;Martel
582;M;34;19890515;Luxembourg;Mondercange;Canton Esch;1580.0;198905158567*;white;gray;short;Simon;Hendrickx
583;M;66;19570621;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195706219128*;latino;gray;medium;Lucas;De Bruyn
584;M;59;19640910;Luxembourg;Mertzig;Canton Diekirch;8242.0;196409107893*;white;gray;short;Alexandre;Goossens
585;F;57;19660114;Luxembourg;Bettembourg;Canton Esch;5596.0;196601145503*;white;black;long;Christiane;Imbert
586;F;33;19900219;Luxembourg;Lorentzweiler;Canton Mersch;9726.0;199002197966*;white;gray;short;Griet;Fouquet
587;M;45;19780302;Luxembourg;Beaufort;Canton Echternach;5582.0;197803022078*;white;brown;medium;Vincent;Andre
588;F;29;19940806;Portugal;Dudelange;Canton Esch;3953.0;199408060813*;white;red;short;Gabriela;Correia
589;M;33;19901217;Luxembourg;Luxembourg;Canton Luxembourg;4960.0;199012174487*;white;brown;short;Gilbert;Fernandez
590;M;41;19821111;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;198211110910*;white;gray;long;Charles;Christiaens
591;F;43;19800712;Luxembourg;Bettembourg;Canton Esch;7096.0;198007125062*;white;black;short;Noémi;Becker
592;F;33;19900811;Portugal;Lac de la Haute-Sûre;Canton Wiltz;3542.0;199008110794*;white;blond;medium;Adriana;Abreu
593;M;22;20010126;Luxembourg;Mamer;Canton Capellen;12201.0;200101266293*;white;black;medium;Roger;Martens
594;F;37;19860311;Luxembourg;Lac de la Haute-Sûre;Canton Wiltz;8042.0;198603119625*;white;black;medium;Laurence;Pelletier
595;M;73;19500525;France;Sanem;Canton Esch;0.0;195005255884*;white;gray;long;Rémy;De Sousa
596;M;43;19800916;Luxembourg;Strassen;Canton Luxembourg;2087.0;198009169906*;white;gray;long;Bernard;Claesen
597;F;53;19701014;Portugal;Luxembourg;Canton Luxembourg;5960.0;197010148603*;white;black;short;Lara;Almeida
598;F;37;19860116;Luxembourg;Helperknapp;Canton Mersch;3917.0;198601161799*;white;black;long;Isabelle;Rémy
599;M;60;19630320;Luxembourg;Feulen;Canton Diekirch;3342.0;196303200750*;white;blond;long;Johan;Fleury
600;F;25;19980406;France;Bertrange;Canton Luxembourg;6087.0;199804061201*;black;black;short;Martine;Bourdon
601;M;44;19790224;Portugal;Luxembourg;Canton Luxembourg;13960.0;197902240046*;white;black;medium;Jaime;Pinheiro
602;F;33;19900720;Luxembourg;Schifflange;Canton Esch;3542.0;199007205247*;white;black;short;Nadia;Gros
603;M;73;19500315;Italy;Luxembourg;Canton Luxembourg;0.0;195003153907*;white;gray;medium;Pierpaolo;Bellini
604;M;61;19620929;Luxembourg;Beaufort;Canton Echternach;10082.0;196209292267*;white;black;medium;Léon;Michel
605;F;82;19410624;Luxembourg;Sanem;Canton Esch;0.0;194106243514*;black;gray;long;Marine;Lecomte
606;M;18;20050329;Luxembourg;Kehlen;Canton Capellen;1207.0;200503297597*;white;blond;medium;Arne;Slegers
607;M;49;19740827;Portugal;Bissen;Canton Mersch;3055.0;197408274844*;white;black;long;Vicente;Machado
608;F;85;19380707;Portugal;Remich;Canton Remich;0.0;193807071088*;white;gray;long;Pilar;Ferreira
609;F;95;19280307;Luxembourg;Luxembourg;Canton Luxembourg;0.0;192803075730*;white;black;short;Céline;Van Rompaey
610;M;76;19471123;Luxembourg;Garnich;Canton Capellen;0.0;194711234601*;white;gray;medium;Andy;Houben
611;F;72;19510418;Luxembourg;Pétange;Canton Esch;0.0;195104180065*;white;gray;medium;Laure;Coulon
612;F;54;19691125;France;Luxembourg;Canton Luxembourg;5960.0;196911257424*;black;black;short;Capucine;Rocher
613;M;48;19750130;Portugal;Pétange;Canton Esch;2028.0;197501304832*;white;brown;long;Diego;Tavares
614;F;39;19841003;Luxembourg;Mondercange;Canton Esch;3580.0;198410032979*;white;gray;medium;Danielle;Diaz
615;F;79;19441214;Spain;Mamer;Canton Capellen;0.0;194412143743*;white;gray;medium;Calista;Albero
616;F;29;19940602;Luxembourg;Luxembourg;Canton Luxembourg;8460.0;199406026031*;white;black;short;Gitte;Dupont
617;F;76;19470223;Portugal;Mertert;Canton Grevenmacher;0.0;194702238275*;white;gray;medium;Renata;Henriques
618;M;75;19481125;France;Luxembourg;Canton Luxembourg;0.0;194811257696*;white;gray;medium;Timothée;Mary
619;M;32;19911101;France;Differdange;Canton Esch;3968.0;199111010051*;white;blond;medium;Hugues;Gallet
620;F;31;19921211;Luxembourg;Käerjeng;Canton Capellen;1141.0;199212116917*;white;brown;short;Nicole;Toussaint
621;M;24;19991026;Luxembourg;Garnich;Canton Capellen;4243.0;199910262731*;white;brown;long;François;Pichon
622;M;66;19571202;Luxembourg;Schifflange;Canton Esch;0.0;195712020398*;white;gray;long;Daniel;Verdonck
623;F;52;19710111;Portugal;Walferdange;Canton Luxembourg;5645.0;197101117352*;white;black;medium;Erica;Marques
624;F;30;19930511;Sweden;Luxembourg;Canton Luxembourg;2960.0;199305111102*;white;blond;medium;Anna;Olsson
625;F;65;19581021;Luxembourg;Differdange;Canton Esch;0.0;195810212572*;black;black;short;Lucie;Maes
626;M;42;19810623;France;Weiler-la-Tour;Canton Luxembourg;10857.0;198106230530*;white;brown;short;Auguste;Sanchez
627;M;24;19990406;Luxembourg;Bettembourg;Canton Esch;5096.0;199904062683*;white;red;medium;Roland;Grondin
628;F;26;19970707;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;199707072679*;latino;blond;short;Lea;Pierre
629;M;31;19920915;Luxembourg;Frisange;Canton Esch;5128.0;199209158457*;white;black;medium;Miguel;De Smet
630;F;30;19930219;France;Erpeldange-sur-Sûre;Canton Diekirch;10145.0;199302196838*;white;brown;short;Laetitia;Klein
631;F;57;19660527;Luxembourg;Pétange;Canton Esch;3528.0;196605275263*;white;gray;short;Célina;Fernandez
632;M;80;19430620;France;Luxembourg;Canton Luxembourg;0.0;194306202236*;white;gray;short;Augustin;Henry
633;F;73;19500830;France;Luxembourg;Canton Luxembourg;0.0;195008305715*;black;gray;medium;Olivie;Rocher
634;F;18;20050612;Luxembourg;Differdange;Canton Esch;2468.0;200506128713*;white;red;long;Mariette;Marie
635;M;30;19931014;Portugal;Dudelange;Canton Esch;8453.0;199310141605*;white;brown;medium;João;Baptista
636;M;73;19500117;Luxembourg;Boulaide;Canton Wiltz;0.0;195001174368*;black;gray;long;Robert;Bossuyt
637;M;71;19520714;Luxembourg;Bettembourg;Canton Esch;0.0;195207147163*;white;gray;medium;Mats;Staelens
638;F;49;19740905;Luxembourg;Bettembourg;Canton Esch;4596.0;197409052200*;white;black;medium;Sofie;Claessens
639;F;47;19761017;Luxembourg;Diekirch;Canton Diekirch;7390.0;197610172204*;white;blond;medium;Monique;Beernaert
640;M;51;19721104;Luxembourg;Schifflange;Canton Esch;3542.0;197211044732*;white;gray;medium;Stefan;Belmans
641;F;87;19361226;Luxembourg;Luxembourg;Canton Luxembourg;0.0;193612260902*;latino;gray;short;Cindy;Engelen
642;F;40;19830710;Luxembourg;Boulaide;Canton Wiltz;6895.0;198307105346*;white;gray;medium;Nathalie;Mercier
643;M;44;19790806;Luxembourg;Rambrouch;Canton Redange;1046.0;197908062832*;black;black;medium;Marc;Snauwaert
644;M;44;19790124;France;Kehlen;Canton Capellen;2207.0;197901241837*;white;blond;short;François;Charles
645;F;24;19990606;Portugal;Differdange;Canton Esch;7468.0;199906060717*;white;red;medium;Luana;Pereira
646;M;40;19830510;Luxembourg;Esch-sur-Alzette;Canton Esch;4803.0;198305108626*;white;gray;medium;Axel;Van Looveren
647;M;49;19740718;Luxembourg;Schifflange;Canton Esch;8542.0;197407184515*;latino;gray;medium;Stefan;Lombard
648;M;42;19810106;Portugal;Esch-sur-Alzette;Canton Esch;3803.0;198101064915*;white;black;short;Gil;Marques
649;M;19;20040419;Luxembourg;Echternach;Canton Echternach;3223.0;200404197539*;white;blond;short;Alfred;Dupuy
650;M;24;19990616;Spain;Dudelange;Canton Esch;5453.0;199906163014*;white;red;short;Pepe;Llamas
651;M;34;19890925;Italy;Luxembourg;Canton Luxembourg;9460.0;198909251370*;white;gray;short;Cipriano;Forza
652;M;52;19710721;Hungary;Luxembourg;Canton Luxembourg;1960.0;197107214274*;white;red;medium;Antal;Kiss
653;M;57;19660705;Luxembourg;Flaxweiler;Canton Grevenmacher;1766.0;196607052651*;black;gray;long;Noah;De Bruyn
654;M;82;19410626;Luxembourg;Walferdange;Canton Luxembourg;0.0;194106268004*;latino;gray;medium;Siebe;Meyers
655;M;64;19590303;Luxembourg;Bertrange;Canton Luxembourg;5587.0;195903032570*;latino;gray;medium;Daniel;Gomes
656;F;52;19710926;Belgium;Luxembourg;Canton Luxembourg;3460.0;197109263029*;white;black;medium;Monique;Huybrechts
657;M;18;20050215;Luxembourg;Grevenmacher;Canton Grevenmacher;11361.0;200502158982*;black;black;long;Arthur;Callewaert
658;M;64;19591219;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;195912191109*;white;gray;medium;Steven;Pascal
659;M;21;20020106;France;Luxembourg;Canton Luxembourg;5960.0;200201069547*;white;black;long;Tristan;Bouvet
660;M;42;19810811;Luxembourg;Sanem;Canton Esch;5642.0;198108110888*;white;red;medium;Wim;Boucher
661;F;36;19871218;Italy;Bertrange;Canton Luxembourg;18087.0;198712187691*;white;brown;long;Luisa;Mannoia
662;M;36;19870413;Luxembourg;Consdorf;Canton Echternach;3063.0;198704137754*;black;black;long;Flor;Brouwers
663;M;46;19770404;Luxembourg;Walferdange;Canton Luxembourg;8145.0;197704045938*;white;brown;long;Dirk;Guillot
664;M;71;19520528;France;Luxembourg;Canton Luxembourg;0.0;195205289050*;black;gray;short;Noël;Lopez
665;M;26;19970427;Luxembourg;Roeser;Canton Esch;2132.0;199704272680*;black;red;short;Patrick;Wauters
666;F;46;19780101;Ukraine;Luxembourg;Canton Luxembourg;960.0;197801010980*;white;brown;long;Володимира;Теліженко
667;F;38;19850313;Luxembourg;Luxembourg;Canton Luxembourg;3960.0;198503130198*;white;black;medium;Marianne;Dupont
668;F;52;19710619;Portugal;Luxembourg;Canton Luxembourg;2460.0;197106198658*;white;black;short;Renata;Vaz
669;F;44;19790520;Luxembourg;Kayl;Canton Esch;3616.0;197905207568*;white;blond;long;Karen;Lucas
670;M;47;19760509;Ukraine;Wiltz;Canton Wiltz;2833.0;197605099872*;white;brown;medium;Остап;Кибкало
671;M;52;19710314;France;Waldbillig;Canton Echternach;1050.0;197103142306*;white;brown;long;Martin;Teixeira
672;F;85;19381022;Luxembourg;Schifflange;Canton Esch;0.0;193810229607*;white;gray;medium;Anne;Pires
673;F;22;20010114;Luxembourg;Mondercange;Canton Esch;4080.0;200101148024*;latino;black;medium;Gerda;Pages
674;F;30;19930429;Hungary;Kehlen;Canton Capellen;11207.0;199304297220*;white;black;long;Margit;Gál
675;F;62;19610523;Spain;Lenningen;Canton Remich;20068.0;196105231502*;white;gray;medium;Nidia;Cámara
676;M;24;19991203;Luxembourg;Dippach;Canton Capellen;7166.0;199912038987*;black;black;long;Amir;Derycke
677;M;20;20030917;Luxembourg;Roeser;Canton Esch;12132.0;200309178153*;white;red;long;Maurice;De Smet
678;F;25;19980606;Portugal;Bettembourg;Canton Esch;3596.0;199806064475*;white;black;short;Leonor;Marques
679;M;40;19830711;Luxembourg;Esch-sur-Sûre;Canton Wiltz;6524.0;198307112644*;white;gray;long;Michel;Charrier
680;M;50;19730914;Portugal;Roeser;Canton Esch;8632.0;197309140275*;white;brown;medium;Márcio;Loureiro
681;F;73;19500609;Portugal;Luxembourg;Canton Luxembourg;0.0;195006090871*;white;gray;long;Clara;Amaral
682;F;53;19701023;Portugal;Luxembourg;Canton Luxembourg;2460.0;197010230366*;white;brown;short;Diana;Nascimento
683;F;18;20051216;Portugal;Dudelange;Canton Esch;3953.0;200512166304*;white;red;long;Jéssica;Neves
684;F;74;19491114;Luxembourg;Bettembourg;Canton Esch;0.0;194911144690*;white;gray;long;Marie;Hervé
685;M;48;19750124;Luxembourg;Hesperange;Canton Luxembourg;4154.0;197501241800*;white;black;medium;Jeroen;Van Loock
686;M;34;19890420;Luxembourg;Esch-sur-Alzette;Canton Esch;3803.0;198904204197*;black;gray;long;Robert;Bernier
687;F;42;19810210;Luxembourg;Bous;Canton Remich;12637.0;198102105939*;white;black;medium;Denise;Cousin
688;F;22;20010612;France;Niederanven;Canton Luxembourg;14955.0;200106125486*;white;black;long;Lucie;Andre
689;F;60;19630822;United States of Ameria;Luxembourg;Canton Luxembourg;5960.0;196308227775*;white;gray;medium;Anna;Branch
690;F;46;19770112;Portugal;Beaufort;Canton Echternach;4582.0;197701124146*;white;gray;long;Ana;Teixeira
691;F;59;19641013;Luxembourg;Kayl;Canton Esch;1616.0;196410138986*;black;brown;medium;Katelijne;De Witte
692;M;33;19900803;Romania;Wiltz;Canton Wiltz;3333.0;199008033879*;white;gray;short;Codin;Stan
693;M;55;19680923;Luxembourg;Remich;Canton Remich;3288.0;196809237778*;white;blond;long;Lorenzo;De Block
694;F;38;19850524;Luxembourg;Leudelange;Canton Esch;1983.0;198505245887*;black;brown;medium;Marcelle;Techer
695;F;60;19631125;Portugal;Luxembourg;Canton Luxembourg;7960.0;196311252590*;white;gray;long;Inês;Castro
696;F;69;19540830;Germany;Lintgen;Canton Mersch;0.0;195408302627*;white;black;short;Mechtild;Scheibe
697;F;21;20021225;Portugal;Luxembourg;Canton Luxembourg;4960.0;200212254302*;white;blond;medium;Sofia;Vaz
698;M;30;19930308;Luxembourg;Differdange;Canton Esch;2968.0;199303086707*;black;gray;medium;Davy;Claes
699;F;44;19790212;Luxembourg;Roeser;Canton Esch;17632.0;197902127589*;black;brown;short;Jeannine;Schneider
700;F;53;19700409;France;Luxembourg;Canton Luxembourg;24960.0;197004099438*;white;red;medium;Arnaude;Colas
701;F;34;19890618;Luxembourg;Vallée de l'Ernz;Canton Diekirch;3597.0;198906184876*;latino;brown;long;Dorine;Snauwaert
702;M;41;19820923;Luxembourg;Luxembourg;Canton Luxembourg;12460.0;198209235797*;white;black;short;Dany;Demeyere
703;M;51;19720901;Luxembourg;Sanem;Canton Esch;3642.0;197209018336*;white;blond;medium;Kristof;François
704;F;71;19520414;France;Esch-sur-Alzette;Canton Esch;0.0;195204148117*;white;gray;short;Susan;Tessier
705;F;34;19890701;Luxembourg;Bettembourg;Canton Esch;3596.0;198907013862*;white;black;short;An;Labbé
706;M;21;20020226;Luxembourg;Schifflange;Canton Esch;9042.0;200202261177*;white;blond;long;Vincent;Pineau
